	target_text	input_text	prefix
249	Можно ли вскипятить воду трением, закрутив ее ложкой?	"Вскипятить? Это вряд ли. Еще в старших классах должны были рассказать о Джеймсе Джоуле, который ставил подобные опыты и не преуспел. Можешь повторить его эксперимент: привяжи к дрели две ложки и включи ее на максимум, опустив в воду. Увы температура воды в чашке повысится всего на несколько градусов. Большая часть энергии (тепла), передаваемой трением, будет теряться, ""улетать"" с поверхности воды. Того, что останется, для кипячения не хватит. Можешь предложить создать закрытый от внешней среды аппарат, который автоматически закручивал бы воду до такой степени, что она нагрелась бы до 100 градусов по Цельсию, но лучше больше не морочь себе голову."	ask_question
20	Если в кино последний ряд для поцелуев, то чем-же занимается в своей будке киномеханик?	Как заверила нас пойманная у операторской будки Анна Каменева, большую часть своей 18-ти часовой рабочей смены киномеханик в современном кинотеатре просто скучает в одиночестве. Фильмы крутят цифровые проекторы по заранее составленному расписанию. Основная работа современного киномеханика как-раз и заключается в составлении этого самого расписания. В перерывах между сном на рабочем месте и чтением книг иногда приходится отвлекаться на какие-то проверки аппаратуры и форс-мажоры. Но раньше, во времена пленочных проекторов, было куда веселее. Киномеханики не сидели на месте практически ни минуты. Сам подумай: катушку с пленкой в проектор установи, пока она крутится, предыдущую перемотай на начало и поставь следующую. А еще не забудь почистить аппаратуру, проверить фокусировку, громкость звука и пр. Как быстро приходится бегать, чтобы склеить порвавшуюся в проекторе пленку и возобновить сеанс мы тебе даже не будем рассказывать.Да, во время первого, иногда второго и изредка даже третьего показа киномеханик может посмотреть новый фильм вместе со зрителями. Именно поэтому ты видишь торчащую в окошке проектора голову, оборачиваясь назад во время сеанса. На премьерных показах мировых блокбастеров таких голов может быть даже несколько — другие работники кинотеатра тоже любят халяву. Но согласись, что 5-6 сеансов подряд смотреть одно и тоже — это уже пытка.	ask_question
313	Почему паук не прилипает к своей собственной паутине?	"""Потому что хитрая бестия! - пожалуй, чересчур эмоционально ответил К. Михайлов, научный сотрудник отдела беспозвоночных Научно-исследовательского зоологического музея МГУ. - Паутина, знаете ли, состоят из нитей двух видов: липучих и каркасных. У паука хорошо развито осязание, он чувствует, где находится клей, и всегда бегает только по гладким каркасным нитям"". К тому же паук бегает по сети, опираясь лишь на кончики лапок. Так что если он и наступит на липучую нить, то не увязнет: поверхность касания будет слишком маленькой. И вообще, в крайнем случае, попав в западню, паук всегда сможет отлепить одну ногу. У него все равно останется семь."	ask_question
307	Можно ли что-нибудь сделать с глазами, чтобы, как кошка, видеть в темноте?	Извини, но ни одна кошка не согласится по доброй воле уступить тебе глаза для пересадки. А других способов помочь тебе нет. Видишь ли, в сетчатке человеческого глаза имеются зрительные образования двух типов. Одни, именуемые колбочками, воспринимают форму и цвет предметов. Другие, палочки, также называемые аппаратом сумеречного зрения, различают свет и тень. Так вот, как нам рассказал наш эксперт, офтальмолог М. Абаева, в палочках содержится зрительный пурпур (родопсин), который разлагается на свету. Как только нас окутывает тьма, родопсин начинает накапливаться и повышает светочувствительность глаза. Сетчатка млекопитающих, ведущих ночной образ жизни (кошки как раз из таких), состоит преимущественно из палочек, а дневных животных (вроде тебя) – из колбочек. Изменить соотношение палочек и колбочек в сетчатке человека невозможно. Если же сверхъестественные способности кошки вызывают у кого-то зависть, несовместимую с жизнью, попробуй есть морковь. Каротин, содержащийся в ней, улучшает ночное зрение, влияя на скорость выработки родопсина. После морковной диеты наверняка можно научиться находить черную кошку в темной комнате, даже если ее там нет.	ask_question
322	Что такое контузия? А то в фильмах звучит, а у меня не было.	"А? Что? Громче пиши: у нас контузия, плохо видно. Хорошо, что нейрохирург Воробьев А.В. нам еще на презентации первого вопроса SFAQ.RU объяснил, что контузией врачи называют ушиб какой-либо части тела без повреждения наружных покровов. Чаще всего это случается при ударном действии звуковой или взрывной волны. Но если ты далеко от линии фронта, контузии можно достичь при ударе об воду или сходе лавины. Повредить таким образом можно практически любой орган, хоть глазное яблоко, но обычно под контузией медики подразумевают все-таки различные поражения головного мозга. Само повреждение мозговой ткани может возникать как на месте удара, в силу прогибания костей черепа, так и по типу ""противоудара"", когда мозг ударяется о противоположную часть черепной коробки. Ушиб мозга сопровождается разрывами мозговой ткани и значительными кровоизлияниями, в результате чего гибнут целые группы нервных клеток. Основным признаком контузии является потеря сознания, хотя в качестве бонуса ты можешь получить нарушения слуха, зрения и двигательных функций. Ах да! Еще одним частым симптомом контузии является полная или частичная потеря памяти. Кстати, а почему ты вдруг заинтересовался зоофилией?"	ask_question
293	Сколько весят облака?	"У нас есть два ответа на данный вопрос. Первый мы придумали сами: облака весят столько же, сколько человеческое счастье! Оно невесомо, его вес можно ощутить только в своем сердце - как приятную ношу. Но на факультете метеорологии МГУ нас спустили на землю педантичные буквоеды: ""Самые тяжелые облака - перисто-кучевые, их вес может порой доходить до 20 килограммов на кубический метр. Такие облака обычно занимают мало места на небосклоне по горизонтали, зато по вертикали бывают огромных размеров. Их высота запросто достигает 16 километров"". Странно, подумали мы. Пенопласт весит легче и при этом падает. Почему же облака висят в воздухе? Оказалось потому, что они ""представляют собой конденсат водяного пара, то есть газ, а вода в газообразном состоянии упасть на землю не может. Поэтому даже грозовое облако высотой 7 километров и весом примерно 20 000 тонн висит в небе прочно"". Да, метеорологам-то легко говорить, а вот мы вторую неделю не спим, зная, что у нас над головой болтаются ничем не зафиксированные махины весом в тысячи тонн..."	ask_question
146	Является ли белое золото по-настоящему золотом?	"Название ""белое золото"" употребляют для обозначения класса драгоценных белых сплавов, которые заменяют платину. Сплавы существенно различаются по составу, но обычно кроме золота содержат от 20 до 50% никеля. Сплав белого золота высшего класса включает 90% золота и 10% палладия. В состав сплава также могут входить медь и цинк. Основное назначение таких сплавов - придание золоту белого цвета."	ask_question
74	Какая женщина-солдат совершила самое большое количество убийств?	Как правило, документы и статистика умалчивают о заслугах женщин в ходе войн и вооруженных столкновений, а ведь они есть. Существует даже специальный список, содержащий имена и фамилии женщин-солдат, получивших медали за заслуги перед Родиной. Так, в Ираке одну женщину наградили Серебряной звездой-весьма значимой наградой, выдаваемой за смелость и доблесть. 23-хлетняя Энн Хестер является членом 617 полицейского подразделения Национальной охраны. Когда взвод, которым она командовала, захватили в плен повстанцы, она взяла у одного из солдат гранатомет, прорыла траншеи и, незаметно добравшись по ним до тыла врага, расстреляла троих главных повстанцев. Но самой знаменитой женщиной (сейчас она ветеран войны) всех времен и народов считается капитан Лиллиэн Кинкелла Кейл. Во время Второй Мировой, а затем последовавшей за ней Корейской войны она совершила более 400 воздушных эвакуационных перевозок, спасших жизнь 10 000 солдат и несчетному количеству пострадавших людей. Она получила такое количество медалей и орденов, какое еще не получал никто за отвагу и спасение человеческих жизней, а также за опасные перелеты, совершаемые на свой страх и риск, в ходе которых женщина еще оказывала помощь раненым.	ask_question
109	Что лучше всего делать при падении лифта?	"По словам физика, Доктора Адриана Ньюмана: ""Предположим, что все тросы лифта оборвались и, что лифт падает со скоростью, скажем, 17 метров в секунду - вы ничего не можете сделать, чтобы смягчить удар. Более того, при такой скорости падения и на такое расстояние, у вас даже не будет времени подумать, не говоря о том, чтобы действовать. Вы кончите, как блин"". А что насчёт подпрыгнуть, чтобы смягчить удар. ""Даже учитывая, что у вас не будет времени подумать, это не лучшая идея. Если вы решите прыгать – вам всё время будет казаться, что уже пора прыгать. Вас расплющит. Может быть, держаться или прижаться к стенке? ""Это нормально на маленькой скорости, такой, как 2-4 метра в секунду, и согнутые в коленях ноги не воткнутся в вас, но в падающем лифте это бесполезно. Лучше, чтобы вместе с вами в лифте ехали очень толстые люди, которые, в быстрее упадет""."	ask_question
276	Почему внутренние органы не чешутся?	"Почесав изящны затылок, терапевт московской клинической больницы №2 Ольга Власова пустилась в объяснения: ""Сама природа зуда тесно связана с особым биологически активным веществом под названием ""гистамин"", которое содержится в тучных клетках нашей кожи"". При чесании происходит примерно следующее: твоя кожа сталкивается с неблагоприятными внешними воздействиями (колючие носки, хлорированная вода или, скажем, колючие носки, вымоченные в хлорированной воде), тучные клетки раздражаются и начинают активно вырабатывать гистамин. Если начать судорожно скрести себя, гистамина станет еще больше. Зуд не исчезнет, пока в процесс не вмешаются антигистаминные препараты и мази. ""Внутренние органы не имеют тучных клеток, потому никогда и не чешутся"", - заключили врач. И это, согласитесь, даже удобно, учитывая, как часто ты тайком пьешь из бассейна."	ask_question
189	Правда ли, что если съесть тридцать вареных яиц, можно тут же умереть?	Александр, твоя попытка незаметно подсыпать врагу в тарелку тридцать крутых яиц, вероятнее всего, обернется фиаско. В больнице номер 13 терапевт Кириллова И.В. объяснила нам, что умереть таким образом нормальному человеку не удастся. Самый вероятный результат - это запор. Обидный, неуместный и малоприятный - но никак не смертельный. Летальный исход возможен, если жертва страдает серьезными заболеваниями печени. А вот чтобы замучить здорового яйцами - его нужно кормить ими в течение месяца-другого. Причем не давая никакой другой пищи. Такая белковая диета приведет к разрушению важнейших органов, прежде всего, печени и почек.	ask_question
226	Что означают буквы на молнии моих штанов YKK?	Буквы YKK значат Yoshida Kougyou Kabushikigaisha. Эта японская компания является мировым лидером по производству молний с 1934 года. На сегодняшний день она производит 90% всех молний в мире на своих 12 заводах в штате Джорджия, США, со скоростью 7 млн. шт. в день. Всего выпускается 1500 типов молний 427 различных цветов. Это много. За всю историю компании у нее был лишь один реальный конкурент. В 1917 году канадец Гидеон Сандбэк запатентовал свой вариант молнии, но завоевать рынок ему не удалось. А в середине 30-х люди уже начали спрашивать, почему на всех молниях написано YKK.	ask_question
377	Кто-нибудь уже додумался выпускать соленые или овощные жвачки?	"Нет. Все начинания убиваются в зародыше - ради жвачного большинства, которое предпочитает ощутить в бубль-гуме мяту или фрукты, а не копченную колбасу с чесноком. Елена Кузнецова, менеджер по внешним связям ООО ""Дирол Кэдбери"", объяснила это так: ""Компании хотят быть уверены в успехе нового продукта, поэтому каждый раз, выводя на рынок новый вкус, проводят исследования предпочтений потребителей. Наиболее популярными вкусами являются ментоловые и фруктовые. Например, когда запускалась новая жевательная резинка с наполнителем, предпочтения потребителей были отданы перечной мяте и ванили и клубнике с лаймом"". Тем не менее налицо дыра в рынке. Поэтому ты можешь купить партию резины, натереть чесноком и попробовать продать с рук."	ask_question
206	Правда ли, что пакет с мукой может взорваться?	"Правда. Но сообщить о том, как именно это происходит, нам по очереди отказались: 1. Мосфильм (пиротехнический отдел); 2. НИИ Пиротехники; 3. Организация ""Нитровзрыв"". Всюду заявляли, что для гражданского пользования эта информация опасна. Впрочем, бывший учитель физики одного из наших редакторов сказал, что никакого секрета тут нет, и весь механизм можно понять, прочитав учебник за 7-1 класс. Любые взвешенные в воздухе горючие частицы (сахар, мука, бумажная пыль) могут взорваться - если пропустить через них заряд. И бумажные фабрики, и пекарни, не оборудованные нормальными вытяжками, сплошь и рядом взрываются из-за неполадок с проводкой."	ask_question
40	Чем питаются комары там, где нет людей и животных?	Многие думают, что комарам кровь жизненно необходима. Вернувшаяся с болот энтомолог Ольга Комарова, пыталась убедить нас, что это не так. «Основу их рациона составляют нектар, пыльца и сок растений!» - кричала она, с остервенением почесывая ладони и лицо со следами комариных укусов. К сожалению, в таком рационе нет белка, который нужен для полноценного производства потомства. Поэтому комары и пьют кровь, в которой белка навалом. Кстати, кровь пьют только самки, самцы же всю жизнь остаются вегетарианцами.Когда поблизости нет людей и животных, комары «кусают» птиц. Некоторые виды приспособились питаться кровью рептилий, пресмыкающихся и даже рыб. Лягушки жрут комаров, а комары жрут лягушек – ирония жизни.Но даже в самых неблагоприятных условиях, когда доступа к крови нет вообще, комары все же сохраняют способность размножаться. Их личинки, живя в воде, питаются органикой. Они могут до превращения в куколку накопить достаточное количество белка, чтобы взрослой особи это запаса хватило на одно потомство. Потомство будет малочисленным и слабым, но когда-нибудь они дождутся очередного туриста и тогда...	ask_question
481	Правда, что у мужчин мозг больше, чем у женщин?	Собаку съевшее на холодильниках рекламное агентство BBDO в лице своего сотрудника Ярослава с радостью разрешает твое маленькое житейское затруднение, Дмитрий. Оказывается, фокус состоит в том, что при съемке используются два холодильника. Один холодильник - если нужно показать продукты, лежащие внутри него, - снимается с открытой дверью, то есть так, как обычно мы его наблюдаем. У другого убирается задняя стенка, а вместо нее ставится камера. Изувеченные же таким образом холодильники потом просто выкидываются - ухудшая экологию, но одновременно повышая уровень потребления товаров в стране и добычи металлолома школьниками.	ask_question
21	Давление в корабле при полете на Луну было как высоко в горах. Как астронавты работали-то, если альпинисты еле ноги переставляют?	Поначалу мы было обрадовались, что ты нашел неоспоримое доказательство поддельности всей американской Лунной Программы, но Сергей Весенин, ведущий инженер одного из тренажеров в подмосковном Центре Подготовки Космонавтов, убедил нас, что это не так. Он рассказал нам, что американские Аполлоны летали накачанные не воздухом, а чистым кислородом. Благодаря этой хитрости конструкторы смогли существенно уменьшить вес космического корабля. Стенки кабины можно делать тоньше (их можно было проткнуть обычным карандашом), а систему очистки проще. К сожалению, атмосфера из чистого кислорода серьезно повышает пожароопасность. Именно в результате пожара погибли все члены экипажа при испытании Аполлона-1.Но при чем тут состав атмосферы, давление-то низкое? А объясняется все лишь тем, что человеческому организму совершенно все-равно какое будет давление дыхательной смеси, важно лишь парциальное давление входящих в нее газов. В земной атмосфере при нормальном давлении парциальное давление кислорода  примерно такое же, как и в чистом кислороде при давлении в 3 раза ниже. А вот на вершине Эвереста, при общем атмосферном давлении в те же 0,3 атм. кровь перестает нормально насыщаться кислородом из-за его низкого парциального давления и начинается кислородное голодание.Эх, в этот раз не получилось, но мы все-равно найдем доказательство, что американцы не были на Луне.	ask_question
184	Можно ли растопить металлическую печь-буржуйку до такой степени, чтобы она начала плавиться?	"На кафедре общей физики МФТИ нам сказали, что они таких опытов не проводят. Зато с удовольствием представили ситуацию в теории, сообщив, что ""стандартная буржуйка сделана из железа, поэтому, чтобы растопить ее, нужно довести температуру горения до 1539 градусов"". К слову, средняя температура горения дерева (обычного костра) - 300-400 градусов. Однако практичные специалисты кафедры физики подсказали, где можно купить неплохие дрова, и обнадежили нас: ""Если обеспечить постоянный поддув кислорода, простой костер можно довести до нужной температуры"". Ну а если у тебя в карманах пиджака завалялась пара килограмм каменного угля, поддувать придется заметно меньше: температура горения угля среднем 600 градусов. Впрочем, можешь обойтись баллоном ацетилена: пламя газа может похвастаться температурой 3100 градусов. Ого-о-онь!"	ask_question
